OBJECTID,FID_1,assessorid,PropertyLo,ZONE_CODE,ACRES,EQUIV_ZONE,Equiv_Dens,Shape__Area,Shape__Length,Pref_Dens,Pref_CapFull,Permitted_,SB899_Cate,SB899_Den,Shape__Area 1,Shape__Length 1,Developable Area,Max Stories,Functional Density Limit,Max Density by Height,Likely Max Unit Count,SDBL Density,Current Max Stories (w/ Menu)
24,16561,5730-027-028,1125 N LAKE AVE  PASADENA CA  91104,CO,0.72982198,CO,32,4325.00390625,266.24882308,64,46,0,COMM,99,3401.89843750,267.32136131,0.57408082,4,100,57,46,57,2.5,,
25,7607,5738-021-015,1305 E COLORADO BLVD  PASADENA CA  91106,ECSP-CG-1,2.04499006,ECSP-CG-1,32,12113.46484375,472.27265491,64,130,0,COMM,99,3996.76171875,256.84916967,0.67475792,4,100,67,67,57,2.5,,
26,7007,5737-005-036,1555 E COLORADO BLVD  PASADENA CA  91106,ECSP-CG-2,1.05806005,ECSP-CG-2,32,6267.42968750,390.95494440,64,67,0,COMM,100,4185.52343750,260.35885251,0.70662776,4,100,70,67,57,2.5,,
27,7031,5737-004-003,1501 E COLORADO BLVD  PASADENA CA  91106,ECSP-CG-2,0.27562100,ECSP-CG-2,32,1632.61718750,173.50953958,64,17,0,COMM,102,1632.61718750,173.50953958,0.27563350,4,100,27,17,57,2.5,,
28,7034,5737-005-034,1555 E COLORADO BLVD  PASADENA CA  91106,ECSP-CG-2,0.27316099,ECSP-CG-2,32,1618.05078125,206.82771484,64,17,0,COMM,99,1618.05078125,206.82771484,0.27317307,4,100,27,17,57,2.5,,
29,7831,5746-007-030,2215 E COLORADO BLVD  PASADENA CA  91107,ECSP-CG-4,1.11503005,ECSP-CG-4,32,6604.87109375,374.71193605,64,71,0,COMM,101,2827.36718750,226.83941905,0.47733424,4,100,47,47,57,2.5,,
30,8847,5748-007-025,40 N DAISY AVE  PASADENA CA  91107,ECSP-CG-5,0.31507501,ECSP-CG-5,32,1866.34375000,175.04366365,64,20,0,COMM,102,1866.34375000,175.04366365,0.31509025,4,100,31,20,57,2.5,,
31,8896,5748-007-026,2833 E COLORADO BLVD  PASADENA CA  91107,ECSP-CG-5-AD-2,1.77644002,ECSP-CG-5-AD-2,32,10522.67578125,449.93435736,64,113,0,COMM,100,6337.00781250,449.90199500,1.06986109,4,100,106,106,57,2.5,,
32,9015,5748-005-035,55 N SAN GABRIEL BLVD  PASADENA CA  91107,EPSP-d1-IG,0.19020399,EPSP-d1-IG,32,1126.68359375,134.85004887,64,12,0,COMM,101,759.09375000,133.81539917,0.12815503,4,100,12,12,57,2.5,,
33,14609,5728-006-034,1062 N FAIR OAKS AVE  PASADENA CA  91103,FGSP-C-2,0.33063000,FGSP-C-2,32,1959.28906250,194.59066097,64,21,0,COMM,101,1470.80078125,160.26896358,0.24821060,4,100,24,21,57,2.5,,
34,14646,5726-018-022,855 N ORANGE GROVE BLVD  PASADENA CA  91103,FGSP-C-3D,1.39625001,FGSP-C-3D,32,8272.74609375,421.60339342,64,89,32,COMM,100,8272.61328125,419.86767019,1.39629792,4,100,139,89,57,2.5,,
35,13947,5725-028-014,379 E ORANGE GROVE BLVD  PASADENA CA  91104,FGSP-C-3D,0.54838300,FGSP-C-3D,32,3249.22265625,231.45046824,64,35,32,COMM,101,1467.00390625,156.79741618,0.24760345,4,100,24,24,57,2.5,,
36,27571,5836-019-006,2005 N FAIR OAKS AVE  PASADENA CA  91103,FGSP-CL-1A,0.82178599,FGSP-CL-1A,32,4871.69921875,279.56805152,64,52,0,COMM,101,2995.80859375,279.31541858,0.50538166,4,100,50,50,57,2.5,,
37,15037,5728-011-023,1540 N FAIR OAKS AVE  PASADENA CA  91103,FGSP-CL-1B,0.25081399,FGSP-CL-1B,16,1486.59765625,154.39279470,32,8,16,COMM,101,1349.45703125,213.37662834,0.22768830,2.5,70,15,8,28,,,
38,27741,5836-020-027,1909 N FAIR OAKS AVE  PASADENA CA  91103,FGSP-CL-1B,0.20645200,FGSP-CL-1B,16,1223.84375000,169.48140843,32,6,16,COMM,101,2947.87890625,221.73578580,0.49731116,2.5,70,34,6,28,,,
39,14923,5728-015-032,1429 N FAIR OAKS AVE  PASADENA CA  91103,FGSP-RM-16,0.31803200,FGSP-RM-16,16,1884.92578125,191.54128893,32,10,16,COMM,101,1884.92578125,191.54128893,0.31804876,2.5,70,22,10,28,,,
40,15243,5728-014-035,1489 N FAIR OAKS AVE  PASADENA CA  91103,FGSP-RM-16,0.53108299,FGSP-RM-16,16,3147.71484375,228.60256271,32,16,16,COMM,99,1258.69140625,173.14757385,0.21237646,2.5,70,14,14,28,,,
41,13224,5727-016-025,400 W CLAREMONT ST  PASADENA CA  91103,LASP-CG2,1.34651005,LASP-CG2,32,7979.78515625,379.80544413,64,86,0,COMM,100,4854.20312500,282.31455554,0.81914372,4,100,81,81,57,2.5,,
42,3773,5716-007-001,1050 AVENUE 64  PASADENA CA  91105,PS,0.50000000,RS-6,6,3321.76171875,257.90183875,32,16,0,COMM,100,3332.67968750,257.90327478,0.56293984,2.5,70,39,16,10,,,
43,7450,5738-009-051,73 N HILL AVE  PASADENA CA  91106,PS,1.84824002,RM-48,48,10948.19531250,471.99281542,87,160,0,COMM,100,6710.66406250,328.68419992,1.13292508,5,125,141,141,86,,,
44,6646,5736-002-026,1363 CORDOVA ST  PASADENA CA  91106,PS,2.27361989,RM-48,48,13466.57421875,502.04185437,87,197,0,COMM,43,20674.18750000,762.55368447,3.49060483,5,125,436,197,86,,,
45,12389,5711-006-025,1 WESTMORELAND PL  PASADENA CA  91103,PS,1.00870001,RM-16,16,5975.56640625,347.68051785,32,32,0,COMM,101,2003.95312500,189.99506346,0.33828823,2.5,70,23,23,28,,,
46,16590,5731-001-045,808 N LOS ROBLES AVE  PASADENA CA  91104,PS,2.84755993,RM-12,12,16872.89453125,539.94723514,32,91,0,COMM,100,5581.21093750,347.00496297,1.58000000,2.5,70,110,91,21,,,
47,24352,5757-002-010,835 HASTINGS RANCH DR  PASADENA CA  91107,PS,1.53146994,RS-6,6,9074.71875000,400.70111352,32,49,0,COMM,100,4014.73437500,256.31815325,0.67757454,2.5,70,47,47,10,,,
