type,id,OBJECTID,FID_1,assessorid,PropertyLo,ZONE_CODE,ACRES,EQUIV_ZONE,Equiv_Dens,Shape__Area,Shape__Length,Pref_Dens,Pref_CapFull,Permitted_,SB899_Cate,SB899_Den,Shape__Area_1,Shape__Length_1,DevelopableArea,Ht_Stories,FuncDenLim,MaxDenByHt,Pref_LikelyMax,SDBL_Dens,Curr_Max_Ht,geometry
Feature,11,11,7667,5738-015-085,220 N MICHIGAN AVE  PASADENA CA  91106,CG,0.32376400000000005,CG,32,1917.94921875,180.02053744000003,64,20,0,COMM,99,895.2265625,143.11167931999998,0.15112618000000003,4,100,15,15,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.12489739931999,34.149781343629904],[-118.12539214107298,34.1497780829835],[-118.12540107391997,34.150036999913496],[-118.124901243211,34.15003751733319],[-118.12489739931999,34.149781343629904]]]}"
Feature,12,12,38045,5741-002-032,1474 E WASHINGTON BLVD  PASADENA CA  91104,CG,1.4008300299999998,CG,32,8302.144531250002,370.67834269,64,89,0,COMM,100,3923.25,374.06153330999996,0.6620117300000001,4,100,66,66,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.11923316931401,34.16842431207311],[-118.119729177692,34.16842003016791],[-118.120226800341,34.16842600892951],[-118.12022644101502,34.16855313852832],[-118.12023015824398,34.16897699414291],[-118.12003177429699,34.16897870213691],[-118.11983342268898,34.1689804376312],[-118.119635070182,34.16898214562511],[-118.119436686235,34.16898385287581],[-118.11923836696599,34.1689855601265],[-118.1192344566,34.16856170455491],[-118.11923316931401,34.16842431207311]]]}"
Feature,13,13,13130,5727-015-007,1478 LINCOLN AVE  PASADENA CA  91103,CG-1,0.75028402,CG-1,32,4446.95703125,264.07555992999994,64,48,0,COMM,100,4446.95703125,264.07555992999994,0.75032198,4,100,75,48,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.15889523180199,34.172106819567404],[-118.15874243376197,34.1717396827891],[-118.15894663879298,34.171649595322386],[-118.15946555690499,34.171722472598],[-118.15946683790298,34.171891465434186],[-118.159483678619,34.1721776042721],[-118.15889523180199,34.172106819567404]]]}"
Feature,14,14,13190,5727-015-009,1450 LINCOLN AVE  PASADENA CA  91103,CG-1,0.24716100000000002,CG-1,32,1464.91015625,177.92029765000004,64,15,0,COMM,101,1464.91015625,177.92029765000004,0.24717391,4,100,24,15,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.158883284209,34.171121921983705],[-118.15946167618299,34.1711962601676],[-118.159462983232,34.171361130609704],[-118.15885317447699,34.171282602228594],[-118.158883284209,34.171121921983705]]]}"
Feature,15,15,13206,5727-016-026,1180 LINCOLN AVE  PASADENA CA  91103,CG-1,0.7252730100000001,CG-1,32,4298.156250000001,278.84368965000004,64,46,0,COMM,100,4075.82421875,361.56660759,0.68778694,4,100,68,46,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.15900662289799,34.166827355199196],[-118.15900627525,34.16678333419951],[-118.159006062349,34.16675860405911],[-118.15900553503799,34.166689990368596],[-118.15900494664099,34.16662395949639],[-118.15900487567399,34.16662121161559],[-118.159004348363,34.1665526253144],[-118.15900378781501,34.1664838471928],[-118.15900365216899,34.16646458449229],[-118.159003227266,34.166415260780106],[-118.159002666717,34.166346482546494],[-118.15900232356097,34.166305209930606],[-118.15900210616797,34.1662777310149],[-118.15900151238198,34.1662091176767],[-118.15900098776599,34.166141657849195],[-118.15941904213899,34.166195899984714],[-118.159420559394,34.1662632207761],[-118.15942095465299,34.1663319173172],[-118.15942191225699,34.1664006130591],[-118.15942244046599,34.166469336246195],[-118.15942329835701,34.166538005118404],[-118.159423454664,34.16660674454571],[-118.15942382477,34.166675397697496],[-118.159424414963,34.1667440797809],[-118.15942521087099,34.1668127893095],[-118.15942590437001,34.16688148540339],[-118.15900662289799,34.166827355199196]]]}"
Feature,16,16,26780,5825-004-026,2050 LINCOLN AVE  PASADENA CA  91103,CG-1,0.19111501,CG-1,32,1132.98828125,147.24770420999997,64,12,0,COMM,99,1132.98828125,147.24770420999997,0.19112539,4,100,19,12,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.15954386394701,34.181082233771996],[-118.15907931995999,34.18108364277639],[-118.15907798865699,34.18092289350191],[-118.15954252365998,34.1809173630002],[-118.15954386394701,34.181082233771996]]]}"
Feature,17,17,18822,5741-001-032,1576 E WASHINGTON BLVD  PASADENA CA  91104,CL,0.17938501,CL,32,1063.1445312499998,136.74488595999995,64,11,0,COMM,94,379.12890624999994,79.58843946,0.06397423,4,100,6,6,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.11794616738,34.16866593054521],[-118.11816088269899,34.16866423740991],[-118.11816389564801,34.168994665710294],[-118.117949014141,34.1689963870825],[-118.11794616738,34.16866593054521]]]}"
Feature,18,18,17196,5731-018-020,525 N LAKE AVE  PASADENA CA  91101,CL,0.81810898,CL,32,4847.02734375,277.27429519000003,64,52,0,COMM,100,4847.02734375,277.27429519000003,0.81814854,4,100,81,52,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.13261092993301,34.1549601504618],[-118.13278049233199,34.1549586176209],[-118.13298376760599,34.1549568008103],[-118.13318605293699,34.154955011504704],[-118.13319134670898,34.15551862158821],[-118.13298972253799,34.1555205201574],[-118.13278641222998,34.15552241947],[-118.13266576758899,34.15552354121659],[-118.13265721383098,34.15552291158151],[-118.13264891968598,34.15552106504829],[-118.13264113219097,34.1555180566263],[-118.132634085806,34.1555139762633],[-118.132627991635,34.15550894735881],[-118.132623032036,34.1555031193301],[-118.13261935702799,34.15549666761269],[-118.13261707440898,34.15548978622619],[-118.13261625424701,34.1554826795977],[-118.13261092993301,34.1549601504618]]]}"
Feature,19,19,18742,5741-001-004,1560 E WASHINGTON BLVD  PASADENA CA  91104,CL,0.21253900000000003,CL,32,1259.6289062499998,158.24982135999997,64,13,0,COMM,96,616.38671875,99.99871203,0.10400820000000001,4,100,10,10,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.11816088269899,34.16866423740991],[-118.11815999067201,34.168570727683104],[-118.11835837372097,34.1685690776548],[-118.11836228049398,34.1689930156903],[-118.11816389564801,34.168994665710294],[-118.11816088269899,34.16866423740991]]]}"
Feature,20,20,21667,5745-011-026,2063 E VILLA ST  PASADENA CA  91107,CL,0.0984125,CL,32,583.0546875,95.57654399,64,6,0,COMM,102,583.0546875,95.57654399,0.09841840999999998,4,100,9,6,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.10799058105701,34.154496156306486],[-118.10799415275798,34.15470216149209],[-118.107803073013,34.15470318363699],[-118.10780041399899,34.154538313369805],[-118.10780091705598,34.1545318184627],[-118.107802645415,34.15452547074419],[-118.107805555058,34.1545194285543],[-118.107809573222,34.154513842799105],[-118.107814600194,34.15450885323409],[-118.107820510211,34.154504584747286],[-118.107827155049,34.15450114364199],[-118.107834369419,34.1544986161505],[-118.10784197275898,34.154497064716686],[-118.107849774628,34.15449652948319],[-118.10799058105701,34.154496156306486]]]}"
Feature,21,21,21574,5745-010-053,2113 E VILLA ST  PASADENA CA  91107,CL,0.47918800000000006,CL,32,2839.0039062500005,211.47005375999996,64,30,0,COMM,100,2839.0039062500005,211.47005375999996,0.47921069000000005,4,100,47,30,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.10688987803398,34.1544993327687],[-118.10689131084699,34.1548702391094],[-118.106726937116,34.15487068662209],[-118.10656167046,34.15487110737329],[-118.10637901780999,34.1548715980019],[-118.106377441267,34.1545421291369],[-118.10637816620698,34.1545349659318],[-118.10638037516499,34.154528015332694],[-118.10638400166299,34.154521489946085],[-118.10638893610897,34.1545155860245],[-118.10639502758498,34.15451048346599],[-118.106402091937,34.1545063383803],[-118.10640991446598,34.1545032741686],[-118.106418258018,34.1545013859838],[-118.106426869269,34.1545007303228],[-118.10655934651899,34.1545003118],[-118.106724612276,34.1544998360369],[-118.10688987803398,34.1544993327687]]]}"
Feature,22,22,28237,5838-002-011,2025 N LOS ROBLES AVE  PASADENA CA  91104,CL,0.17246599000000004,CL,32,1022.421875,147.58066388999998,64,11,0,COMM,99,1022.421875,147.58066388999998,0.17247376,4,100,17,11,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.14184271757998,34.18055768119459],[-118.14234032046699,34.18055503557911],[-118.142340025819,34.1806924291206],[-118.141844074934,34.18069507324549],[-118.14184271757998,34.18055768119459]]]}"
Feature,23,23,28330,5838-001-015,380 E WOODBURY RD  PASADENA CA  91001,CL,0.448955,CL,32,2661.5625,257.02952393,64,28,0,COMM,100,2661.5625,257.02952393,0.44897986000000006,4,100,44,28,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.14269025469399,34.1808001455601],[-118.14283903906099,34.1807990085432],[-118.142923350442,34.180798441521105],[-118.14293156553599,34.181560966935706],[-118.14269846619399,34.181561983553394],[-118.14269025469399,34.1808001455601]]]}"
Feature,24,24,16561,5730-027-028,1125 N LAKE AVE  PASADENA CA  91104,CO,0.7298219800000001,CO,32,4325.00390625,266.24882308,64,46,0,COMM,99,3401.8984375000005,267.32136131,0.57408082,4,100,57,46,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.13257481496298,34.1651977192954],[-118.133260718209,34.165193063353804],[-118.133249424589,34.1656141418433],[-118.13255713611798,34.16561490296411],[-118.13257481496298,34.1651977192954]]]}"
Feature,25,25,7607,5738-021-015,1305 E COLORADO BLVD  PASADENA CA  91106,ECSP-CG-1,2.0449900600000004,ECSP-CG-1,32,12113.46484375,472.27265490999997,64,130,0,COMM,99,3996.76171875,256.84916967000004,0.6747579200000001,4,100,67,67,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.123681941011,34.1461015989236],[-118.123686631116,34.146568979514704],[-118.12368717549498,34.146623908532],[-118.123688574172,34.14676492808581],[-118.123689900983,34.146902320127815],[-118.123690564838,34.1469710168084],[-118.12369119545598,34.1470397126896],[-118.123693183427,34.147177104284594],[-118.12369445095,34.147296635177],[-118.12301616272298,34.1473009545823],[-118.12300607464299,34.1461056953538],[-118.123681941011,34.1461015989236]]]}"
Feature,26,26,7007,5737-005-036,1555 E COLORADO BLVD  PASADENA CA  91106,ECSP-CG-2,1.05806005,ECSP-CG-2,32,6267.4296875,390.9549444,64,67,0,COMM,100,4185.5234375,260.35885251,0.70662776,4,100,70,67,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.11788530382398,34.146615361096295],[-118.11806377302,34.1466143076287],[-118.11806225666398,34.146570315493705],[-118.118060049503,34.14613093337431],[-118.11834596259699,34.146129114887],[-118.11834975797899,34.1465687706053],[-118.118346778267,34.1472419378081],[-118.11809430316299,34.147237413952794],[-118.117864517707,34.14704681333749],[-118.117865473514,34.1466154904565],[-118.11788530382398,34.146615361096295]]]}"
Feature,27,27,7031,5737-004-003,1501 E COLORADO BLVD  PASADENA CA  91106,ECSP-CG-2,0.275621,ECSP-CG-2,32,1632.6171875,173.50953958,64,17,0,COMM,102,1632.6171875,173.50953958,0.2756335,4,100,27,17,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.11936719795499,34.146122505584806],[-118.119565528901,34.1461212104886],[-118.119615103329,34.1461209138506],[-118.11961751260999,34.146395835857305],[-118.119618938236,34.1465607071498],[-118.119569363809,34.1465610305505],[-118.11937106430399,34.146562325639906],[-118.11936719795499,34.146122505584806]]]}"
Feature,28,28,7034,5737-005-034,1555 E COLORADO BLVD  PASADENA CA  91106,ECSP-CG-2,0.27316099000000005,ECSP-CG-2,32,1618.05078125,206.82771484000003,64,17,0,COMM,99,1618.05078125,206.82771484000003,0.27317307,4,100,27,17,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.11770311290799,34.14613320462481],[-118.117881581206,34.146132069371305],[-118.11788530382398,34.146615361096295],[-118.117865473514,34.1466154904565],[-118.11786524264701,34.146709440087],[-118.11786646076301,34.14675271843941],[-118.117706498658,34.1467538083342],[-118.11770683462798,34.1466164145639],[-118.11770311290799,34.14613320462481]]]}"
Feature,29,29,7831,5746-007-030,2215 E COLORADO BLVD  PASADENA CA  91107,ECSP-CG-4,1.1150300499999999,ECSP-CG-4,32,6604.87109375,374.7119360499999,64,71,0,COMM,101,2827.3671875000005,226.83941905000003,0.47733424,4,100,47,47,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.10432091371399,34.146214436545804],[-118.104548957337,34.1462130306765],[-118.10478030496398,34.146211621089996],[-118.10478489445597,34.14676119151639],[-118.10478602453699,34.14689858356439],[-118.10478722199099,34.1470360036398],[-118.10410053990701,34.1470401966727],[-118.104099245434,34.146902804111605],[-118.104097983301,34.1467654120704],[-118.10432602782299,34.14676375864229],[-118.10432091371399,34.146214436545804]]]}"
Feature,30,30,8847,5748-007-025,40 N DAISY AVE  PASADENA CA  91107,ECSP-CG-5,0.31507501000000004,ECSP-CG-5,32,1866.34375,175.04366364999996,64,20,0,COMM,102,1866.34375,175.04366364999996,0.31509025,4,100,31,20,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.09292569091002,34.14662781461389],[-118.09292560377301,34.146662841469904],[-118.09292462910102,34.14700495214349],[-118.092759378615,34.147006013040695],[-118.092594128129,34.1470071021889],[-118.092595104597,34.14666496401639],[-118.09259520431002,34.14662993493091],[-118.092596255339,34.14662992749639],[-118.09276041257598,34.1466288762593],[-118.09292569091002,34.14662781461389]]]}"
Feature,31,31,8896,5748-007-026,2833 E COLORADO BLVD  PASADENA CA  91107,ECSP-CG-5-AD-2,1.7764400200000003,ECSP-CG-5-AD-2,32,10522.67578125,449.9343573599999,64,113,0,COMM,100,6337.007812499999,449.90199499999994,1.0698610899999996,4,100,106,106,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.09176977563301,34.1466353390625],[-118.09177151926299,34.146296717399494],[-118.091936801191,34.1462956304726],[-118.09210204988099,34.146294542802195],[-118.092267299469,34.146293510147295],[-118.09243254815799,34.14629239422571],[-118.092596169101,34.146291317706996],[-118.092597796848,34.1462913058117],[-118.09276142048599,34.14629022929309],[-118.09276304643599,34.1462902173979],[-118.09292666737902,34.14628916615649],[-118.09292574121602,34.14660785671919],[-118.09292569091002,34.14662781461389],[-118.09276041257598,34.1466288762593],[-118.092596255339,34.14662992749639],[-118.09259520431002,34.14662993493091],[-118.092595104597,34.14666496401639],[-118.092594128129,34.1470071021889],[-118.09242887764199,34.1470081898501],[-118.09226359481602,34.1470092782547],[-118.09209834433,34.14701033840841],[-118.091933093844,34.1470114260696],[-118.091767843357,34.1470125129873],[-118.09176977563301,34.1466353390625]]]}"
Feature,32,32,9015,5748-005-035,55 N SAN GABRIEL BLVD  PASADENA CA  91107,EPSP-d1-IG,0.19020399000000002,EPSP-d1-IG,32,1126.68359375,134.85004887000005,64,12,0,COMM,101,759.0937500000001,133.81539917,0.12815503,4,100,12,12,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.095037771179,34.1471532062637],[-118.09503614612598,34.147380731206795],[-118.094870892945,34.1473817675657],[-118.09470498219702,34.14738283217541],[-118.09470723696799,34.1471554715392],[-118.094872520692,34.1471543251477],[-118.095037771179,34.1471532062637]]]}"
Feature,33,33,14609,5728-006-034,1062 N FAIR OAKS AVE  PASADENA CA  91103,FGSP-C-2,0.33063000000000003,FGSP-C-2,32,1959.2890625,194.59066097,64,21,0,COMM,101,1470.80078125,160.26896358,0.24821060000000003,4,100,24,21,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.14989485286699,34.16400293930891],[-118.150513015055,34.164000440347095],[-118.150514338274,34.164184518943394],[-118.150514520632,34.164211997797196],[-118.14989605840599,34.1642145242547],[-118.149895876947,34.164187046145],[-118.14989485286699,34.16400293930891]]]}"
